Date,Open,High,Low,Close,Adj Close,Volume,EMA10,EMA30,ATR,ADX,RSI,MACD,MACDsignal,ClgtEMA10,EMA10gtEMA30,MACDSIGgtMACD,target_cls
2001-05-14,1252.0,1254.0,1244.0,1252.0,1252.0,82948,1255.2526073518502,1235.39945115134,25.03791888786601,15.78182825685649,54.9082964927843,15.47811707997539,16.936176159105678,-1,1,1,1
2001-05-15,1252.25,1262.0,1245.75,1257.5,1257.5,119095,1255.6612241969683,1236.825293012544,24.410210395875577,14.83546109969573,56.48788378931224,14.66560562513314,16.48206205231117,1,1,1,1
2001-05-16,1256.5,1291.25,1236.0,1288.5,1288.5,166551,1261.6319107066104,1240.159145076251,26.61305251045589,15.274949527753948,64.11765470529515,16.33482764056862,16.452615169962662,1,1,1,1
2001-05-17,1289.0,1299.5,1284.75,1291.5,1291.5,142637,1267.0624723963176,1243.471458297138,25.765691616851903,15.989989807540931,64.7616185569959,17.695787024279525,16.701249540826034,1,1,-1,1
2001-05-18,1291.5,1296.0,1283.5,1295.75,1295.75,116856,1272.278386506078,1246.844267439258,24.8181422156482,16.575238135864478,65.70073162375603,18.899435692152338,17.140886771091296,1,1,-1,1
2001-05-21,1295.5,1317.0,1290.25,1314.75,1314.75,116856,1280.0004980504275,1251.2252824431769,24.956132057387613,17.86220074300927,69.60112807718562,21.14275660638713,17.941260738150465,1,1,-1,0
2001-05-22,1314.75,1319.25,1309.0,1312.5,1312.5,143922,1285.9094984048952,1255.178490027488,23.9056940532885,19.130095136047963,68.60617928098249,22.479913942538133,18.848991379028,1,1,-1,0
2001-05-23,1312.5,1313.25,1290.25,1290.75,1290.75,152405,1286.7895896040052,1257.473426154747,23.84100162091075,19.118194266207365,59.719098603568256,21.536320243596265,19.38645715194165,1,1,-1,1
2001-05-24,1290.25,1297.5,1283.0,1294.5,1294.5,91508,1288.191482403277,1259.8622373705696,23.173787219417125,18.693860477549272,60.66518264444654,20.85075457925609,19.67931663740454,1,1,-1,0
2001-05-25,1295.25,1300.0,1275.75,1279.5,1279.5,91808,1286.6112128754085,1261.1291897982749,23.25065956088733,17.897483408259514,55.0912952121349,18.87943384988125,19.519340079899884,-1,1,1,0
